"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Оба способа (header и query) доставляют ключ — демонстрация эквивалентности","229","10. Сравнение способов передачи API Key","","Wed Apr 08 18:54:31 UTC 2026","passed","Wed Apr 08 18:54:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testHeaderVsQueryParamEquivalence"
"Демонстрация использования CreateUserRequest с Lombok Builder","103","20. POST запрос - создание пользователя с Builder","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithBuilder"
"Демонстрация получения токена через POST запрос","103","7. Получение Bearer токена","","Wed Apr 08 18:54:35 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetBearerToken"
"Проверяем все поля OAuthTokenResponse","23","2. Десериализация полного ответа токена в модель","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenResponseDeserialization"
"","392","2. Валидация XML через Hamcrest hasXPath","","Wed Apr 08 18:54:28 UTC 2026","passed","Wed Apr 08 18:54:28 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testXmlValidationWithHamcrest"
"Отправка данных с Bearer токеном","258","9. POST с Bearer Token","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBearerToken"
"","19","6. Обновление токена через Refresh Token grant","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testRefreshToken"
"Обновление данных с Bearer токеном","131","10. PUT с Bearer Token","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBearerToken"
"Создание пользователя с логированием в Allure","186","2. POST запрос создания пользователя с Allure","","Wed Apr 08 18:54:25 UTC 2026","passed","Wed Apr 08 18:54:25 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreateUserWithAllure"
"","32","7. GET защищённого ресурса с валидным токеном","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithToken"
"Проверка обработки 401 Unauthorized","858","2. GET с Basic Auth - неверные credentials","","Wed Apr 08 18:54:34 UTC 2026","passed","Wed Apr 08 18:54:35 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthFailure"
"Проверка полей пользователя различными способами","65","4. Валидация JSON структуры с Hamcrest матчерами","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonValidationWithHamcrest"
"Преобразование ответа в типизированный объект","37","5. Десериализация JSON в Java объект","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonToObjectDeserialization"
"Проверяем, что X-API-Key передаётся в заголовке и виден в ответе","131","1. GET с API Key в заголовке X-API-Key","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyHeader"
"Некоторые API принимают ключ как 'ApiKey <token>' в Authorization","107","2. GET с API Key в заголовке Authorization (кастомный формат)","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:30 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyInAuthorizationHeader"
"","142","11. PATCH — частичное обновление через Map и ObjectMapper","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbinWithMap"
"Все детали запроса и ответа автоматически попадают в Allure отчет","2976","1. GET запрос с автоматическим Allure логированием","","Wed Apr 08 18:54:22 UTC 2026","passed","Wed Apr 08 18:54:25 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"Проверка обработки ошибок с логированием в Allure","84","7. Негативный тест с Allure отчетом","","Wed Apr 08 18:54:26 UTC 2026","passed","Wed Apr 08 18:54:26 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testNegativeScenarioWithAllure"
"Проверяем, что Base64-encoded значение в заголовке соответствует паттерну Stripe","104","9. Stripe-style: заголовок Authorization содержит Base64(apiKey:)","","Wed Apr 08 18:54:31 UTC 2026","passed","Wed Apr 08 18:54:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testApiKeyAsBasicAuthFullCycle"
"GET запрос с form parameters в query string","107","3. GET с form parameters","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testGetWithFormParams"
"","103","10. PATCH — частичное обновление через httpbin","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbin"
"Демонстрация базового GET запроса и валидации статус кода","47","1. Простой GET запрос - получение списка пользователей","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testSimpleGetRequest"
"","111","5. PUT с form params — обновление данных сотрудника","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsEmployee"
"","261","4. Inline multipart без клиента","","Wed Apr 08 18:54:38 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testMultipartInline"
"Разные API используют разные имена параметра: apikey, api_key, key, token","578","7. GET с API Key в query-параметре 'apikey' (альтернативное имя)","","Wed Apr 08 18:54:30 UTC 2026","passed","Wed Apr 08 18:54:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyDifferentParamNames"
"","104","2. Загрузка файла из classpath","","Wed Apr 08 18:54:37 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
"Проверка обработки 404 ошибки","27","13. Негативный тест - несуществующий ресурс","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testNotFoundError"
"Работа с Comment моделью через TestSpecification","183","3. Получение комментариев с детальным логированием","","Wed Apr 08 18:54:25 UTC 2026","passed","Wed Apr 08 18:54:25 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetCommentsWithAllure"
"","12","10. Запрос к защищённому ресурсу без токена → 401","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"Проверяем, что api_key передаётся как query-параметр","104","5. GET с API Key в query-параметре 'api_key'","","Wed Apr 08 18:54:30 UTC 2026","passed","Wed Apr 08 18:54:30 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyQueryParam"
"Демонстрация добавления вложений в отчет","104","6. Тест с attachment в Allure","","Wed Apr 08 18:54:25 UTC 2026","passed","Wed Apr 08 18:54:26 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testWithAttachments"
"Проверка десериализации одного комментария","54","19. GET запрос - получение конкретного комментария","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetSingleComment"
"","105","3. POST запрос с XML телом","","Wed Apr 08 18:54:28 UTC 2026","passed","Wed Apr 08 18:54:28 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testPostWithXmlBody"
"Полное обновление поста","110","8. PUT запрос - обновление ресурса","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPutRequest"
"Проверка что API отвечает быстро","41","14. Валидация времени ответа","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testResponseTime"
"API Key не должен вытеснять другие query-параметры","140","6. GET с API Key в query-параметре 'key' + дополнительные params","","Wed Apr 08 18:54:30 UTC 2026","passed","Wed Apr 08 18:54:30 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyQueryParamAlongsideOtherParams"
"Удаление ресурса с Bearer токеном","106","12. DELETE с Bearer Token","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBearerToken"
"PATCH запрос с form-encoded данными","104","7. PATCH с form parameters","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPatchWithFormParams"
"Демонстрация DELETE запроса с авторизацией","101","6. DELETE с Basic Auth","","Wed Apr 08 18:54:35 UTC 2026","passed","Wed Apr 08 18:54:35 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBasicAuth"
"","604","2. SOAP — валидация ответа через XPath","","Wed Apr 08 18:54:27 UTC 2026","passed","Wed Apr 08 18:54:27 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapResponseWithXPath"
"Использование FormApiClient с базовыми методами","61","17. Комбинированный тест - FormApiClient с базовыми методами","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testFormClientWithBasicMethods"
"Демонстрация PATCH запроса с авторизацией","466","5. PATCH с Basic Auth","","Wed Apr 08 18:54:35 UTC 2026","passed","Wed Apr 08 18:54:35 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBasicAuth"
"Демонстрация асинхронного выполнения POST запроса","51","2. Выполнение POST запроса через актор","","Wed Apr 08 18:54:38 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testPostRequestWithActor"
"Создание поста из Java объекта","62","7. POST запрос с объектом","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithObject"
"Демонстрация GET запроса с корректными credentials","144","1. GET с Basic Auth - успешная авторизация","","Wed Apr 08 18:54:34 UTC 2026","passed","Wed Apr 08 18:54:34 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthSuccess"
"","11","11. Получение токена с неверным client_secret → 401","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenWithWrongSecret"
"Создание нового поста","72","6. POST запрос с JSON телом","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithJsonBody"
"Демонстрация асинхронного выполнения GET запроса","44","1. Выполнение GET запроса через актор","","Wed Apr 08 18:54:38 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testGetRequestWithActor"
"","997","1. SOAP — конвертация числа в слова","","Wed Apr 08 18:54:26 UTC 2026","passed","Wed Apr 08 18:54:27 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapNumberToWords"
"","383","4. POST с JAXB объектом","","Wed Apr 08 18:54:28 UTC 2026","passed","Wed Apr 08 18:54:28 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testPostWithJaxbObject"
"POST запрос с телом и API Key в заголовке","126","3. POST с API Key в заголовке X-API-Key","","Wed Apr 08 18:54:30 UTC 2026","passed","Wed Apr 08 18:54:30 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testPostWithApiKeyHeader"
"Client Credentials → access_token → защищённый GET","34","8. Полный OAuth flow: получить токен → использовать для запроса","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFullOAuthFlow"
"Демонстрация GET запроса с Bearer токеном","126","8. GET с Bearer Token","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBearerToken"
"Демонстрация POST запроса с авторизацией","104","3. POST с Basic Auth","","Wed Apr 08 18:54:35 UTC 2026","passed","Wed Apr 08 18:54:35 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBasicAuth"
"Валидация Content-Type и других заголовков","37","15. Проверка заголовков ответа","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testResponseHeaders"
"Создание пользователя, поста и получение комментариев","287","5. Комплексный сценарий с множественными шагами","","Wed Apr 08 18:54:25 UTC 2026","passed","Wed Apr 08 18:54:25 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testComplexScenarioWithAllure"
"","18","5. Ответ содержит refresh_token при Password grant","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testPasswordGrantReturnsRefreshToken"
"Альтернативный способ создания объекта CreateUserRequest","59","21. POST запрос - создание пользователя через конструктор","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:34 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithConstructor"
"Негативный тест: запрос без ключа к защищённому ресурсу","104","4. Проверка, что без API Key возвращается 401","","Wed Apr 08 18:54:30 UTC 2026","passed","Wed Apr 08 18:54:30 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithoutApiKeyReturns401"
"Отправка формы в формате application/x-www-form-urlencoded","117","1. POST с form parameters (без cookies)","","Wed Apr 08 18:54:31 UTC 2026","passed","Wed Apr 08 18:54:31 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParams"
"","25","4. Получение токена через Resource Owner Password grant","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenPassword"
"Фильтрация постов по userId","49","3. GET запрос с query параметрами","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithQueryParameters"
