"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Демонстрация параллельной работы нескольких акторов","48","3. Параллельное выполнение нескольких запросов","","Wed Apr 08 18:54:38 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testMultipleParallelRequests"
"Обновление только заголовка поста","57","9. PATCH запрос - частичное обновление","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchRequest"
"Полный цикл: получение токена и использование его для запросов","201","13. Комплексный сценарий - получение и использование токена","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testCompleteTokenFlow"
"Проверка обработки невалидного токена","827","14. Негативный тест - невалидный Bearer токен","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:37 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testInvalidBearerToken"
"","141","1. Загрузка текстового файла","","Wed Apr 08 18:54:37 UTC 2026","passed","Wed Apr 08 18:54:37 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadTextFile"
"Stripe и ряд других API принимают API Key как username в Basic Auth с пустым паролем","396","8. GET с API Key как Basic Auth username (Stripe-style)","","Wed Apr 08 18:54:31 UTC 2026","passed","Wed Apr 08 18:54:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyAsBasicAuth"
"PUT запрос с form-encoded данными","132","4. PUT с form parameters","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutWithFormParams"
"Использование AuthApiClient с базовыми методами","37","16. Комбинированный тест - AuthApiClient с базовыми методами","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testAuthClientWithBasicMethods"
"Пошаговое создание и валидация поста","139","4. Создание поста с подробными шагами","","Wed Apr 08 18:54:25 UTC 2026","passed","Wed Apr 08 18:54:25 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreatePostWithSteps"
"","114","6. PUT с form params и session cookie","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsWithSession"
"","29","9. Автоматический OAuth flow в одном методе sendGetWithOAuth","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testSendGetWithOAuth"
"Частичное обновление с Bearer токеном","129","11. PATCH с Bearer Token","","Wed Apr 08 18:54:36 UTC 2026","passed","Wed Apr 08 18:54:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBearerToken"
"Отправка формы с cookies","124","2. POST с form parameters и cookies","","Wed Apr 08 18:54:31 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParamsAndCookies"
"Проверка обработки несуществующего ресурса","41","4. Обработка ошибки в акторе","","Wed Apr 08 18:54:38 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testErrorHandlingInActor"
"POST на /oauth/token с grant_type=client_credentials","147","1. Получение токена через Client Credentials grant","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenClientCredentials"
"Демонстрация PUT запроса с авторизацией","105","4. PUT с Basic Auth","","Wed Apr 08 18:54:35 UTC 2026","passed","Wed Apr 08 18:54:35 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBasicAuth"
"","17","3. Токен ещё не истёк сразу после получения","","Wed Apr 08 18:54:29 UTC 2026","passed","Wed Apr 08 18:54:29 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenNotExpiredRightAfterIssue"
"Демонстрация работы с моделью Comment","36","18. GET запрос - получение комментариев к посту","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetCommentsForPost"
"Создание поста и получение его комментариев","89","22. Комплексный сценарий - создание поста и комментариев","","Wed Apr 08 18:54:34 UTC 2026","passed","Wed Apr 08 18:54:34 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testComplexScenarioPostAndComments"
"","109","3. Файл + поля формы","","Wed Apr 08 18:54:38 UTC 2026","passed","Wed Apr 08 18:54:38 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileWithMetadata"
"Получение конкретного пользователя по ID","61","2. GET запрос с path параметром","","Wed Apr 08 18:54:32 UTC 2026","passed","Wed Apr 08 18:54:32 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithPathParameter"
"","229","1. Получение XML и извлечение значения тега","","Wed Apr 08 18:54:27 UTC 2026","passed","Wed Apr 08 18:54:28 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testParseXmlResponse"
"Удаление поста","50","12. DELETE запрос","","Wed Apr 08 18:54:33 UTC 2026","passed","Wed Apr 08 18:54:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testDeleteRequest"
